topic,subtopic,difficulty,score,total_questions,percentage,time_taken,attempt_number,timestamp,user_id,score_ratio,is_improving,avg_previous_score,readiness
OS,Processes,beginner,3,5,71.2,755,4,2025-10-29 22:12:43.490137,user_0247,0.6,True,,Good
OS,Memory Management,advanced,5,5,100.0,545,14,2025-12-08 22:12:43.511084,user_0409,1.0,False,95.35,Excellent
C,Arrays,advanced,4,5,83.4,677,21,2026-01-18 22:12:43.484122,user_0202,0.8,False,72.175,Good
C,Pointers,intermediate,4,5,93.4,719,11,2025-12-12 22:12:43.460220,user_0030,0.8,False,88.775,Excellent
Python,Dictionaries,intermediate,2,5,58.3,744,7,2025-11-12 22:12:43.507093,user_0379,0.4,True,43.5,Average
DBMS,Normalization,beginner,3,5,60.9,851,3,2025-11-10 22:12:43.468198,user_0092,0.6,False,64.6,Excellent
Python,Lists,intermediate,4,5,94.5,731,9,2025-11-12 22:12:43.498117,user_0313,0.8,True,,Excellent
Java,Inheritance,advanced,5,5,100.0,674,27,2025-12-27 22:12:43.462213,user_0045,1.0,False,84.14,Excellent
DBMS,Normalization,beginner,4,5,85.6,731,5,2025-11-27 22:12:43.502108,user_0339,0.8,False,79.4,Excellent
DBMS,Normalization,advanced,5,5,100.0,566,24,2026-01-16 22:12:43.489109,user_0242,1.0,False,100.0,Excellent
C,Functions,intermediate,5,5,100.0,577,9,2025-11-30 22:12:43.505100,user_0365,1.0,True,,Excellent
Data Structures,Linked List,intermediate,5,5,100.0,703,12,2025-12-11 22:12:43.468198,user_0090,1.0,True,100.0,Excellent
C,Functions,advanced,5,5,100.0,703,23,2026-01-22 22:12:43.503106,user_0352,1.0,False,86.3,Excellent
DBMS,SQL,advanced,5,5,100.0,568,26,2025-12-21 22:12:43.476177,user_0142,1.0,False,93.25,Excellent
C,Loops,intermediate,5,5,100.0,719,11,2025-11-11 22:12:43.510086,user_0401,1.0,True,61.949999999999996,Excellent
Java,Inheritance,beginner,4,5,86.3,760,1,2025-11-21 22:12:43.461216,user_0043,0.8,False,,Excellent
Data Structures,Queues,beginner,4,5,85.6,699,5,2025-11-11 22:12:43.497122,user_0306,0.8,True,,Excellent
C,Functions,advanced,5,5,100.0,516,30,2026-01-12 22:12:43.505100,user_0368,1.0,False,100.0,Excellent
Python,Lists,advanced,3,5,66.2,753,24,2026-01-11 22:12:43.483156,user_0193,0.6,False,64.75,Excellent
OS,Threads,advanced,5,5,100.0,739,22,2026-01-12 22:12:43.502108,user_0345,1.0,False,98.525,Excellent
Data Structures,Stacks,advanced,3,5,76.6,593,16,2026-01-12 22:12:43.496122,user_0296,0.6,False,50.9,Good
DBMS,Normalization,intermediate,5,5,100.0,729,10,2025-11-10 22:12:43.500113,user_0323,1.0,False,,Excellent
OS,Memory Management,advanced,5,5,100.0,533,17,2026-01-16 22:12:43.506095,user_0374,1.0,False,89.05,Excellent
Java,OOPs,beginner,1,5,30.0,900,5,2025-12-15 22:12:43.489109,user_0239,0.2,False,,Needs Improvement
DBMS,Transactions,advanced,5,5,100.0,747,18,2025-12-24 22:12:43.497122,user_0306,1.0,True,75.15,Excellent
C,Arrays,intermediate,5,5,100.0,660,11,2025-11-27 22:12:43.458228,user_0022,1.0,True,100.0,Excellent
Data Structures,Stacks,beginner,3,5,74.2,643,3,2025-12-07 22:12:43.477145,user_0150,0.6,False,,Excellent
OS,Memory Management,intermediate,4,5,82.5,733,12,2026-01-13 22:12:43.465207,user_0071,0.8,True,41.75,Average
Java,Inheritance,advanced,5,5,100.0,589,19,2025-12-26 22:12:43.502108,user_0344,1.0,False,74.0,Excellent
Java,OOPs,beginner,3,5,65.0,679,3,2025-12-16 22:12:43.496122,user_0298,0.6,True,,Average
OS,Processes,advanced,5,5,100.0,510,30,2026-01-09 22:12:43.464208,user_0064,1.0,True,79.14444444444445,Good
Data Structures,Queues,advanced,5,5,100.0,633,33,2026-01-13 22:12:43.490137,user_0249,1.0,False,82.89999999999999,Excellent
OS,Memory Management,intermediate,3,5,67.2,639,10,2025-11-04 22:12:43.478138,user_0152,0.6,False,55.7,Excellent
C,Functions,beginner,2,5,52.5,650,2,2025-11-19 22:12:43.520058,user_0485,0.4,True,37.2,Good
Java,Exceptions,advanced,5,5,100.0,604,31,2026-01-07 22:12:43.516071,user_0455,1.0,False,98.32000000000001,Excellent
Python,Dictionaries,beginner,3,5,69.8,654,2,2025-11-03 22:12:43.509087,user_0397,0.6,True,,Excellent
Java,OOPs,advanced,5,5,100.0,547,18,2025-11-27 22:12:43.456194,user_0001,1.0,False,97.8,Excellent
C,Functions,advanced,5,5,100.0,739,16,2025-11-10 22:12:43.461216,user_0044,1.0,False,100.0,Excellent
Python,File Handling,advanced,3,5,66.5,608,19,2025-12-18 22:12:43.509087,user_0400,0.6,False,35.7,Good
Python,File Handling,intermediate,3,5,76.3,791,6,2025-11-17 22:12:43.502108,user_0345,0.6,False,86.3,Excellent
Java,Inheritance,advanced,4,5,98.1,647,25,2026-01-05 22:12:43.514074,user_0436,0.8,False,78.875,Excellent
OS,Processes,advanced,5,5,100.0,636,32,2026-01-15 22:12:43.459221,user_0029,1.0,False,98.17,Excellent
Data Structures,Trees,advanced,2,5,45.8,657,24,2025-12-27 22:12:43.507093,user_0379,0.4,False,44.76666666666667,Average
OS,Threads,intermediate,2,5,48.3,708,9,2025-11-12 22:12:43.518063,user_0466,0.4,True,39.2,Good
DBMS,Normalization,advanced,5,5,100.0,717,20,2026-01-14 22:12:43.463213,user_0061,1.0,False,100.0,Excellent
C,Loops,advanced,2,5,53.9,874,17,2025-12-11 22:12:43.478138,user_0158,0.4,False,50.4,Good
OS,Threads,intermediate,4,5,91.8,756,8,2025-11-25 22:12:43.521058,user_0491,0.8,True,,Excellent
Java,Exceptions,beginner,3,5,62.3,641,1,2025-10-16 22:12:43.492134,user_0261,0.6,False,,Good
